Unnamed: 0,entity1,entity2,entity_type1,entity_type2,Relation,PMID,entity1_status,entity2_status,entity1_suggested_name,entity2_suggested_name,second_search_suggested_name,entity1_expert_accepted,entity1_expert_suggested_name,entity1_expert_cui,entity1_expert_resolution,entity2_expert_accepted,entity2_expert_suggested_name,entity2_expert_cui,entity2_expert_resolution,mapping_version
2626,Rutin,cholesterol levels,drug,phenotype,drug_effect,39518914,in_kg,C0428466|C4025656,,Abnormal circulating cholesterol concentration,Abnormal circulating cholesterol concentration,,,,,,,,,v2_expert_merged
2631,Niemann-Pick Disease Type C,lysosomal enlargement,disease,phenotype,disease_phenotype_positive,39502943,in_kg,C1836855,,,,,,,,,,,,v2_expert_merged
2640,NPC1,Niemann-Pick Disease Type C,protein/gene,disease,disease_protein,39547438,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2655,lysosomal storage disorder,Niemann-Pick Disease Type C,phenotype,disease,disease_phenotype_positive,39557950,C0085078,in_kg,lysosomal storage disease,,lysosomal storage disease,,,,,,,,,v2_expert_merged
2656,Niemann-Pick Disease Type C,Cholesterol accumulation,disease,phenotype,disease_phenotype_positive,39557950,in_kg,C5436605,,,,,,,,,,,,v2_expert_merged
2658,NPC1,Niemann-Pick Disease Type C,protein/gene,disease,disease_protein,39557950,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2659,NPC2,Niemann-Pick Disease Type C,protein/gene,disease,disease_protein,39557950,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2660,Niemann-Pick Disease Type C,Splenomegaly,disease,phenotype,disease_phenotype_positive,39557950,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2661,Niemann-Pick Disease Type C,Ataxia,disease,phenotype,disease_phenotype_positive,39557950,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2662,NPC1,Lysosomes,protein/gene,cellular_component,cellcomp_protein,39557950,in_kg,C0024369,,,,,,,,,,,,v2_expert_merged
2663,neurodegenerative disease,Niemann-Pick disease type C,disease,disease,disease_disease,39628618,C0524851,in_kg,,,,,,,,,,,,v2_expert_merged
2664,Miglustat,Niemann-Pick disease type C,drug,disease,indication,39628618,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2666,Miglustat,Diarrhea,drug,phenotype,drug_effect,39628618,in_kg,C0011991,,,,,,,,,,,,v2_expert_merged
2670,Niemann-Pick disease type C,Ataxia,disease,phenotype,disease_phenotype_positive,39628618,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2671,Niemann-Pick disease type C,Vertical supranuclear gaze palsy,disease,phenotype,disease_phenotype_positive,39628618,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2672,Niemann-Pick disease type C,Dysphagia,disease,phenotype,disease_phenotype_positive,39628618,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2673,Niemann-Pick disease type C,Cataplexy,disease,phenotype,disease_phenotype_positive,39628618,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2682,cerebrospinal fluid,disease severity,anatomy,protein/gene,anatomy_protein_present,39688135,in_kg,C3494263,,,,,,,,,,,,v2_expert_merged
2686,Niemann-Pick Disease Type C,reduced thalamic volumes,disease,phenotype,disease_phenotype_positive,39689839,in_kg,C4022771,,Decreased thalamic volume,Decreased thalamic volume,,,,,True,,,expert_cui,v2_expert_merged
2688,Niemann-Pick Disease Type C,TGFA,disease,protein/gene,disease_protein,39689839,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2689,Niemann-Pick Disease Type C,HLA-DRA,disease,protein/gene,disease_protein,39689839,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2690,Niemann-Pick Disease Type C,TNFSF12,disease,protein/gene,disease_protein,39689839,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2691,Niemann-Pick Disease Type C,EGF,disease,protein/gene,disease_protein,39689839,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2695,Niemann-Pick Disease Type C,progressive neurodegeneration,disease,phenotype,disease_phenotype_positive,39689839,in_kg,C0154671|C1854838,,Cerebral degeneration,Cerebral degeneration,,,,,,,,,v2_expert_merged
2696,Niemann-Pick Disease Type C,NPC1,disease,protein/gene,disease_protein,39689839,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2697,Niemann-Pick Disease Type C,NPC2,disease,protein/gene,disease_protein,39689839,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2698,Niemann-Pick Disease Type C,intracellular accumulation of unesterified cholesterol,disease,phenotype,disease_phenotype_positive,39689839,in_kg,C3553603|C5937001,,Unesterified cholesterol accumulation in cultured fibroblasts,Unesterified cholesterol accumulation in cultured fibroblasts,,,,,,,,,v2_expert_merged
2701,neuroinflammation,cognitive impairment,phenotype,phenotype,pathology_phenotype,39689839,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2711,Niemann-Pick Disease Type C,NPC2,disease,protein/gene,disease_protein,39747180,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2712,glucosylsphingosine,NPC2,phenotype,protein/gene,phenotype_protein,39747180,C0074996|C6016450,in_kg,Elevated circulating glucosylsphingosine concentration,,Elevated circulating glucosylsphingosine concentration,,,,,,,,,v2_expert_merged
2714,sphingosine,NPC2,phenotype,protein/gene,phenotype_protein,39747180,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2718,mitochondrial function,NPC2,biological_process,protein/gene, bioprocess_protein,39747180,C5574978,in_kg,,,,,,,,,,,,v2_expert_merged
2720,cholesterol transport,NPC1,biological_process,protein/gene, bioprocess_protein,39762312,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2722,hepatocellular carcinoma,NPC1,disease,protein/gene,disease_protein,39762312,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2723,NPC1,TGFBR1,protein/gene,protein/gene,protein_protein,39762312,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2725,NPC1,SMAD7,protein/gene,protein/gene,protein_protein,39762312,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2726,NPC1,SMURF1,protein/gene,protein/gene,protein_protein,39762312,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2727,SMAD7,SMURF1,protein/gene,protein/gene,protein_protein,39762312,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2728,TGFBR1,SMAD7,protein/gene,protein/gene,protein_protein,39762312,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2729,TGFBR1,SMURF1,protein/gene,protein/gene,protein_protein,39762312,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2730,TGFBR1,SMURF1,protein/gene,protein/gene,protein_protein,39762312,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2736,blood-brain barrier,NPC2,anatomy,protein/gene,anatomy_protein_absent,39891227,C0005854,in_kg,blood brain barrier,,blood brain barrier,,,,,,,,,v2_expert_merged
2740,brain,NPC2,anatomy,protein/gene,anatomy_protein_present,39891227,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2746,DHDDS,NPC2,protein/gene,protein/gene,protein_protein,40003936,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2750,DHDDS,neurodevelopmental disorders,protein/gene,disease,disease_protein,40003936,in_kg,C1535926|C5568766,,complex neurodevelopmental disorder,complex neurodevelopmental disorder,,,,,,,,,v2_expert_merged
2752,neurodevelopmental disorders,epilepsy,disease,phenotype,disease_phenotype_positive,40003936,C1535926|C5568766,in_kg,complex neurodevelopmental disorder,,complex neurodevelopmental disorder,,,,,,,,,v2_expert_merged
2753,neurodevelopmental disorders,motor impairments,disease,phenotype,disease_phenotype_positive,40003936,C1535926|C5568766,C4025360|C5436522,complex neurodevelopmental disorder,Functional motor deficit,entity1:complex neurodevelopmental disorder|entity2:Functional motor deficit,,,,,,,,,v2_expert_merged
2755,NPC2,Cholesterol trafficking,protein/gene,phenotype,phenotype_protein,40003936,in_kg,C5960876,,,,,,,,,,,,v2_expert_merged
2756,NPC2,lysosome,protein/gene,cellular_component,cellcomp_protein,40003936,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2761,DHDDS,lipid storage,protein/gene,phenotype,phenotype_protein,40003936,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2764,DHDDS,cholesterol storage,protein/gene,phenotype,phenotype_protein,40003936,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2779,miglustat,decelerated disease progression,drug,phenotype,drug_effect,40009086,in_kg,C1854838,,Progressive neurologic deterioration,Progressive neurologic deterioration,,,,,False,Slowly progressive,,not_accepted,v2_expert_merged
2780,atrophy,cerebellum,pathology,anatomy,pathology_anatomy_present,40009086,C0333641,in_kg,,,,,,,,,,,,v2_expert_merged
2781,atrophy,thalamus,pathology,anatomy,pathology_anatomy_present,40009086,C0333641,C0039729,,,,,,,,,,,,v2_expert_merged
2782,atrophy,frontal lobe,pathology,anatomy,pathology_anatomy_present,40009086,C0333641,in_kg,,,,,,,,,,,,v2_expert_merged
2783,atrophy,hippocampus,pathology,anatomy,pathology_anatomy_present,40009086,C0333641,C0019564|C1134421,,hippocampal field,hippocampal field,,,,,,,,,v2_expert_merged
2788,cerebellar atrophy,ataxia,pathology,phenotype,pathology_phenotype,40009086,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2789,hypometabolism,ataxia,pathology,phenotype,pathology_phenotype,40009086,C0347938|C4022794,in_kg,Parietal hypometabolism in FDG PET,,Parietal hypometabolism in FDG PET,,,,,,,,,v2_expert_merged
2792,miglustat,cerebellar hypometabolism progression,drug,phenotype,drug_effect,40009086,in_kg,C5539789,,Global cerebellar dysplasia,Global cerebellar dysplasia,,,,,False,Hypometabolism,C0347938,not_accepted,v2_expert_merged
2830,lysosome,NPC1,cellular_component,protein/gene,cellcomp_protein,40333988,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2832,lysosomal cholesterol homeostasis,NPC1,biological_process,protein/gene, bioprocess_protein,40333988,C1326960,in_kg,cholesterol homeostasis,,cholesterol homeostasis,True,,,expert_cui,,,,,v2_expert_merged
2835,autophagy,neurodegeneration,biological_process,phenotype,bioprocess_phenotype,40333988,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2836,Ppt1,NPC1,protein/gene,protein/gene,protein_protein,40333988,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2837,lysosomal cholesterol homeostasis,NPC1,biological_process,protein/gene, bioprocess_protein,40333988,C1326960,in_kg,cholesterol homeostasis,,cholesterol homeostasis,True,,,expert_cui,,,,,v2_expert_merged
2840,autophagy,neurodegeneration,biological_process,phenotype,bioprocess_phenotype,40333988,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2851,NPC1,Niemann-Pick Disease Type C,protein/gene,disease,disease_protein,do,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2852,NPC2,Niemann-Pick Disease Type C,protein/gene,disease,disease_protein,40565243,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2854,JQ1,Niemann-Pick Disease Type C,drug,disease,indication,40565243,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2856,Niemann-Pick Disease Type C,lysosomal diseases,disease,disease,disease_disease,40565243,in_kg,C0085078,,lysosomal storage disease,lysosomal storage disease,,,,,,,,,v2_expert_merged
2857,Niemann-Pick Disease Type C,cholesterol accumulation,disease,phenotype,disease_phenotype_positive,40565243,in_kg,C5436605,,,,,,,,,,,,v2_expert_merged
2859,JQ1,NPC1,drug,protein/gene,drug_protein,40565243,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2867,JQ1,patien-dependent manner,drug,phenotype,drug_effect,40565243,in_kg,C1835978,,Age-dependent penetrance,Age-dependent penetrance,,,,,True,,,expert_cui,v2_expert_merged
2870,Niemann-Pick Disease Type C,neurovisceral symptoms,disease,phenotype,disease_phenotype_positive,40565243,in_kg,C1867971,,Acute episodes of neuropathic symptoms,Acute episodes of neuropathic symptoms,,,,,True,,,expert_cui,v2_expert_merged
2871,NPC1,cholesterol accumulation,protein/gene,phenotype,phenotype_protein,40565243,in_kg,C5436605,,,,,,,,,,,,v2_expert_merged
2874,disease-modifying drugs,Niemann-Pick Disease Type C,drug,disease,indication,40565243,C0242708,in_kg,,,,,,,,,,,,v2_expert_merged
2877,efavirenz,Niemann-Pick disease type C,drug,disease,indication,40701909,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2878,miglustat,Niemann-Pick disease type C,drug,disease,indication,40701909,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2880,lysosomal storage disorder,Niemann-Pick disease type C,disease,disease,disease_disease,40701909,C0085078,in_kg,lysosomal storage disease,,lysosomal storage disease,,,,,,,,,v2_expert_merged
2881,efavirenz,miglustat,drug,drug,drug_drug,40701909,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2883,efavirenz,preservation of learning,drug,phenotype,drug_effect,40701909,in_kg,C0023185,,learning,learning,,,,,True,,,expert_cui,v2_expert_merged
2885,efavirenz,preservation of memory,drug,phenotype,drug_effect,40701909,in_kg,C0025260|C4035451,,memory,memory,,,,,,,,,v2_expert_merged
2908,NPC1,lysosomes,protein/gene,cellular_component,cellcomp_protein,40737317,in_kg,C0024369,,,,,,,,,,,,v2_expert_merged
2911,GBA1,striatum,protein/gene,anatomy,anatomy_anatomy,40737317,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2912,LRRK2,striatum,protein/gene,anatomy,anatomy_anatomy,40737317,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2921,Niemann-Pick disease type C,autosomal recessive disorder,disease,disease,disease_disease,40869913,in_kg,C3899988,,,,,,,,,,,,v2_expert_merged
2922,Niemann-Pick disease type C,lysosomal storage diseases,disease,disease,disease_disease,40869913,in_kg,C0085078,,lysosomal storage disease,lysosomal storage disease,,,,,,,,,v2_expert_merged
2923,Niemann-Pick disease type C,accumulation of unesterified cholesterol,disease,phenotype,disease_phenotype_positive,40869913,in_kg,C3553603|C5937001,,Unesterified cholesterol accumulation in cultured fibroblasts,Unesterified cholesterol accumulation in cultured fibroblasts,,,,,,,,,v2_expert_merged
2924,Niemann-Pick disease type C,NPC1,disease,protein/gene,disease_protein,40869913,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2925,cerebral cortex,Niemann-Pick disease type C,anatomy,disease, anatomy_disease,40869913,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
2926,Niemann-Pick disease type C,lipid inclusions,disease,phenotype,disease_phenotype_positive,40869913,in_kg,C4231253,,,,,,,,,,,,v2_expert_merged
2927,Niemann-Pick disease type C,increased cholesterol,disease,phenotype,disease_phenotype_positive,40869913,in_kg,C3276464|C4551591,,Increased HDL cholesterol concentration,Increased HDL cholesterol concentration,,,,,,,,,v2_expert_merged
2930,Niemann-Pick disease type C,protein aggregates,disease,phenotype,disease_phenotype_positive,40869913,in_kg,C3850144,,,,,,,,,,,,v2_expert_merged
